TradeName,counts,numberOfunits
Allegra-D,1,91
Allernaze,3,236
Alli,4,244
Allopurinol,4,321
Almotriptan Malate,1,114
Alocril,2,88
Alomide,2,81
Aloprim,1,12
Alora,0,0
Alosetron Hydrochloride,2,100
Aloxi,7,192
Alphanate,5,438
Alprazolam,3,81
Alprostadil,2,171
Alrex,3,153
Alsuma,4,192
Altabax,1,87
Altace,5,238
Alteplase,5,233
Altocor,2,151
Altoprev,3,237
Altretamine,3,297
Alupent,3,130
Alvesco,4,177
Amantadine Hydrochloride,5,276
Amaryl,1,117
Ambien,1,9
Ambien CR,3,130
Ambisome,5,365
Amerge,5,300
Americaine,3,101
Amevive,6,256
Amicar,0,0
Amifostine,2,86
Amikacin,7,384
Amikin,4,285
Amiloride,4,298
Amiloride and Hydrochlorothiazide,2,134
Amiloride Hydrochloride,4,247
Amino Acids,3,195
Aminocaproic Acid,2,131
Aminoglutethimide,2,97
Aminohippurate Sodium,0,0
Aminolevulinic Acid,3,133
Aminosalicylic Acid,1,59
Aminosyn II 8.5%,4,390
Aminosyn II in Dextrose,3,273
Amitiza,2,150
Amitriptyline,3,218
Amlexanox,1,58
Amlodipine Besylate,3,176
Amoxapine,4,184
Amoxicillin,4,228
Amoxicillin Clavulanate,5,385
Amoxil,3,248
Amphadase,0,0
Amphetamine,1,79
Amphotericin B,2,88
Ampicillin,3,136
Ampyra,2,70
Amrix,1,22
Amyl Nitrite,0,0
Amytal Sodium,1,87
Anabolic steroids,4,330
Anadrol-50,2,35
Anafranil,6,309
Anagrelide,1,62
Anakinra,3,97
Anastrozole,6,281
Ancobon,3,132
Androderm,3,216
AndroGel,6,221
Anectine,4,285
Angeliq,5,311
Angiomax,2,57
Anidulafungin,0,0
Anisindione,5,343
Ansaid,6,269
Antabuse,6,281
Antara,4,286
Anthralin,1,24
Antihemophilic Factor,3,290
Antithrombin,5,237
Antivenin,4,361
Antivert,0,0
Antizol,8,553
Anturane,4,287
Anusol Hc,2,188
Aphthasol,2,148
Apidra,2,76
Aplenzin,1,13
Apokyn,2,199
Apomorphine,1,75
Apraclonidine,2,154
Apresazide,3,218
Apresoline,3,266
Apri,5,345
Apriso,3,205
Aprotinin,5,356
Aptivus,3,159
Aquasol A,3,151
Aralen,3,77
Aramine,5,273
Aranesp,1,84
Arava,4,166
Arcalyst,3,134
Aredia,2,123
Argatroban,3,163
Aricept,5,456
Arimidex,5,303
Aripiprazole,2,129
Aristocort,2,80
Arixtra,4,271
Armodafinil,3,258
Aromasin,4,201
Arranon,4,224
Artane,1,38
Arthrotec,7,423
Arzerra,2,205
Asacol,4,265
Asacol HD,4,324
Asclera,5,298
Ascorbic Acid,2,81
Asmanex Twisthaler,3,182
Asparaginase,3,184
Aspirin,4,282
Astelin,2,107
Astemizole,4,183
Astepro,3,208
Atacand,5,316
Atacand HCT,2,224
Atazanavir Sulfate,3,152
Atenolol and Chlorthalidone,4,281
Atgam,2,160
Ativan,1,24
Atomoxetine HCl,2,164
Atorvastatin Calcium,2,74
Atovaquone,1,59
Atracurium Besylate,1,101
Atralin,3,289
Atridox,3,153
Atripla,1,64
Atromid-S,2,131
Atropen,2,104
Atropine,1,66
Atrovent HFA,4,196
Atryn,3,202
Augmentin,6,210
Augmentin XR,7,268
Auralgan,3,257
Avage,2,23
Avalide,5,394
Avandamet,4,319
Avandaryl,2,122
Avandia,4,177
Avapro,3,206
Avastin,3,172
Avelox,2,56
Avinza,4,295
Avodart,2,144
Avonex,1,111
Axert,0,0
Axid,1,100
Aygestin,4,297
Azacitidine,1,41
Azasan,1,63
Azasite,4,197
Azathioprine,2,119
Azelaic Acid,2,173
Azelastine Hydrochloride,3,222
Azelex,0,0
Azilect,2,140
Azithromycin,6,330
Azmacort,4,375
Azopt,2,199
Azor,6,345
Azulfidine EN-Tabs,1,9
Bacitracin,3,227
Baclofen,4,264
Bactrim,5,338
Bactroban Nasal,5,311
Balsalazide,3,156
Banzel,1,55
Baraclude,4,338
Basiliximab,3,227
Baycol,3,168
Bayer,0,0
Becaplermin,1,61
Beconase,3,235
Benadryl,3,148
Benazepril,4,248
Benefix,4,304
Benicar,5,323
Benicar HCT,5,335
Bentyl,5,291
BenzaClin,3,239
Benzagel,5,397
Benzamycin,5,332
Benzocaine,2,136
Benzonatate,3,88
Benzoyl Peroxide Gel,3,208
Benzphetamine,1,118
Benztropine Mesylate,10,396
Bepreve,4,237
Bepridil,1,22
Beractant,7,499
Besivance,2,216
Betagan,2,153
Betamethasone,5,195
Betamethasone Dipropionate,2,64
Betapace,1,55
Betapace AF,6,419
Betaseron,3,237
Betaxolol Hydrochloride,3,231
Betaxon,3,182
Bethanechol,10,659
Bethanechol Chloride,3,136
Betimol,1,12
Betoptic S,3,207
Bevacizumab,3,278
Bexarotene,0,0
Bextra,2,114
Bexxar,2,227
Bicalutamide,7,382
Bicillin C-R 900/300,3,207
BiCNU,6,375
BiDil,4,330
Biltricide,2,107
Bioclate,4,240
BioThrax,3,107
Biperiden,2,107
Bismuth Subcitrate Potassium,3,237
Bismuth Subsalicylate,3,201
Bisoprolol Fumarate,1,31
Bivalirudin,3,207
Blenoxane,1,88
Bleph 10,1,76
Blocadren,2,45
Boniva,1,40
Bontril,6,384
Boostrix,6,391
Bortezomib,6,424
Bosentan,2,145
Botox,2,99
Botox Cosmetic,3,174
Botulinum Toxin Type A,3,144
Botulinum Toxin Type B,4,295
Bravelle,3,163
Bretylium,2,93
Brevibloc,2,112
Brevicon,2,204
Brevital Sodium,2,81
Brimonidine Tartrate,0,0
Bromfenac Ophthalmic Solution,3,282
Bromocriptine Mesylate,3,98
Brovana,4,245
Budesonide,5,360
Bumetanide,2,51
Bumex,6,506
Buphenyl,5,418
Buprenex,1,29
Buprenorphine,2,151
Bupropion Hcl,5,242
Buspar,4,312
Buspirone,2,75
Busulfan,5,304
Busulfex,5,433
Butenafine,3,281
Butisol,2,49
Butoconazole,1,83
Butorphanol Tartrate,5,301
Butrans,5,249
Byetta,0,0
Ca-DTPA,7,442
Cabergoline,2,110
Caduet,4,162
Cafcit,4,247
Cafergot,1,94
Caffeine Citrate,2,205
Calan,8,476
Calciferol,1,25
Calcitonin-Salmon,3,240
Calcitriol,2,143
Calcium Chloride,8,565
Calcium Disodium Versenate,5,197
Calcium Gluconate,3,162
Calfactant,3,195
Cambia,6,461
Campath,2,30
Campral,3,198
Canasa,3,201
Cancidas,2,190
Candesartan Cilexetil,2,128
Cantil,1,29
Capastat Sulfate,3,187
Capecitabine,5,250
Capoten,1,110
Capozide,3,219
Captopril,5,407
Captopril and Hydrochlorothiazide,8,488
Carac,2,33
Carbaglu,6,357
Carbamazepine,6,320
Carbatrol,4,154
Carbenicillin Indanyl Sodium,4,179
Carbidopa,5,355
Carbocaine,2,182
Carboplatin,5,294
Carboprost Tromethamine,4,166
Cardene SR,3,74
Cardiolite,5,262
Cardizem LA,3,120
Cardura,5,256
Cardura XL,4,253
Carisoprodol,1,90
Carisoprodol and Aspirin,4,228
Carmustine,4,235
Carnitor,2,109
Carteolol,5,362
Carteolol Hydrochloride,7,663
Cartia XT,3,188
Carvedilol,3,175
Casodex,2,161
Caspofungin Acetate,4,354
Cataflam,3,58
Catapres,6,330
Catapres-TTS,4,263
Caverject,2,134
Caverject Impulse,4,153
Cayston,1,36
Ceclor,3,245
Cedax,2,158
CeeNU,2,223
Cefaclor,7,586
Cefadroxil,4,124
Cefadroxil Hemihydrate,1,14
Cefamandole,4,313
Cefdinir,2,86
Cefditoren Pivoxil,7,413
Cefixime,5,325
Cefizox,3,237
Cefobid,5,330
Cefotan,5,306
Cefotaxime,4,247
Cefotetan,3,177
Cefoxitin,1,6
Cefprozil,3,198
Ceftazidime,4,357
Ceftibuten,4,230
Ceftin,2,113
Ceftizoxime,5,325
Ceftriaxone,3,203
Cefuroxime,3,179
Cefuroxime Axetil,3,207
Cefzil,5,389
Celebrex,4,205
Celecoxib,1,85
Celestone Soluspan,3,110
Celexa,4,248
CellCept,5,428
Cellulose,4,167
Celontin,5,388
Cenestin,5,228
Cephalexin,5,340
Ceprotin,3,304
Ceptaz,0,0
Cerebyx,3,175
Ceredase,3,220
Ceretec,4,354
Cerezyme,1,39
Cerivastatin,4,183
Certolizumab Pegol,3,179
Cerubidine,3,149
Cerumenex,2,92
Cervarix,4,268
Cervidil,3,159
Cesamet,1,41
Cetirizine,3,156
Cetraxal,2,137
Cetrorelix,4,291
Cetrotide,5,216
Cetuximab,1,68
Cevimeline HCL,2,70
Chantix,5,353
Chemet,4,311
Chibroxin,0,0
ChiRhoStim,4,329
Chlor-Trimeton,2,73
Chloral Hydrate,5,235
Chlorambucil,4,276
Chloramphenicol,3,140
Chloramphenicol Sodium Succinate,3,278
Chlordiazepoxide,11,726
Chlorhexidine,4,353
Chloroprocaine,3,249
Chloroptic,4,358
Chloroquine,1,102
Chlorothiazide,4,193
Chlorpheniramine Maleate,5,454
Chlorpromazine,6,408
Chlorpropamide,7,302
Chlorthalidone,2,64
Chlorzoxazone,5,359
Cholera Vaccine,3,126
Cholestyramine,2,125
Choline Magnesium Trisalicylate,4,243
Chorionic Gonadotropin,6,415
Cialis,2,45
Ciclopirox Gel,2,110
Cidofovir,3,198
Cilostazol,2,57
Cimetidine,6,533
Cimzia,5,266
Cinacalcet,3,233
Cinobac,2,141
Cinoxacin,4,280
Cinryze,4,270
Cipro,2,132
Cipro XR,0,0
Ciprodex,5,306
Ciprofloxacin,3,251
Ciprofloxacin and Dexamethasone,1,77
Ciprofloxacin Hcl,9,645
Cisapride,5,310
Cisatracurium Besylate,3,155
Cisplatin,3,121
Citalopram Hydrobromide,4,351
Cladribine,2,110
Claforan,3,136
Clarinex,5,138
Clarinex-D 12 Hour,2,144
Clarinex-D 24 Hour,3,172
Clarithromycin,2,128
Claritin,2,172
Cleocin,4,257
Cleocin T,2,73
Clevidipine Butyrate,9,674
Cleviprex,5,260
Climara,4,159
Climara Pro,4,283
Clindamycin,4,163
Clindamycin Phosphate,3,174
Clindets,4,175
Clinoril,2,82
Clobetasol Propionate,5,371
Clobetasol Propionate Gel,6,258
Clocortolone,3,196
Cloderm,2,157
Clofarabine,1,35
Clofazimine,4,277
Clofibrate,3,151
Clolar,3,199
Clomid,3,264
Clomiphene,4,211
Clomipramine Hcl,2,57
Clonazepam,2,28
Clonidine,3,212
Clopidogrel Bisulfate,1,116
Clorazepate Dipotassium,3,244
Clorpres,2,174
Clotrimazole,1,98
Clozapine,4,314
Clozaril,2,141
Coartem,1,103
Cocaine,3,200
Codeine,4,235
Codeine Phosphate,1,14
Codeine Sulfate,6,430
Cogentin,3,168
Cognex,2,152
Colazal,3,115
Colchicine,5,254
Colcrys,3,198
Colesevelam Hcl,0,0
Colestid,0,0
Colestipol,3,204
Collagenase,0,0
Coly-Mycin M,2,66
Coly-Mycin S Otic,2,39
Combigan,6,273
CombiPatch,2,56
Combivent,3,145
Combivir,2,147
Combunox,3,142
Compazine,4,180
Compro,0,0
Comtan,2,99
Comvax,3,84
Concerta,3,251
Conjugated Estrogens,9,504
Copaxone,6,489
Copegus,4,156
Cordarone,2,66
Coreg,4,236
Coreg CR,3,109
Corgard,2,184
Corlopam,4,274
Cortaid,4,321
Cortef,4,232
Cortenema,2,17
Cortisone Acetate,3,141
Cortone,3,138
Cortrosyn,4,282
Corvert,1,59
Corzide,1,60
Cosmegen,4,326
Cosopt,2,108
Cosyntropin,4,245
Coumadin,5,178
Covera-HS,3,154
Cozaar,5,415
Creon,4,285
Crestor,4,250
Crixivan,3,129
Crofab,3,99
Crolom,4,268
Cromolyn Sodium,2,148
Cubicin,3,273
Cuprimine,2,115
Curosurf,2,144
Cuvposa,6,469
Cyanocobalamin,0,0
Cyanokit,3,213
Cyclessa,3,281
Cyclobenzaprine Hcl,5,317
Cyclophosphamide,5,332
Cycloset,4,325
Cyclosporine,4,322
Cyklokapron,1,104
Cylert,1,65
Cymbalta,2,149
Cyproheptadine,2,35
Cyproheptadine Hydrochloride,2,201
Cystadane,1,75
Cystagon,2,32
Cysteamine Bitartrate,2,101
Cysview,1,29
Cytadren,4,301
Cytarabine,4,380
Cytogam,7,478
Cytomel,6,375
Cytotec,1,44
Cytovene,0,0
Cytoxan,0,0
Dacarbazine,4,366
Daclizumab,2,142
Dacogen,2,101
Dactinomycin,4,286
Dalmane,5,337
Dalteparin,3,148
Danazol,4,160
Dapsone,5,333
Daptacel,2,157
Daraprim,1,19
Darbepoetin Alfa,5,351
Darunavir,1,73
Darvocet-N,7,347
Darvon,3,171
Darvon Compound,5,116
Dasatinib,1,75
Daunorubicin,3,292
Daypro,4,201
Daypro Alta,0,0
Daytrana,2,134
DDAVP,1,7
DDAVP Nasal Spray,3,147
DDAVP Rhinal Tube,2,84
Decadron,8,516
Declomycin,2,58
Deferasirox,3,232
Deferoxamine,2,182
Definity,2,53
Dehydrated Alcohol,2,75
Delatestryl,2,123
Delavirdine Mesylate,1,44
Delestrogen,3,198
Deltasone,3,268
Demadex,2,133
Demeclocycline HCl,2,68
Demerol,0,0
Demser,2,151
Demulen,6,380
Denavir,2,155
Denileukin Diftitox,1,37
Depacon,2,126
Depakene,3,94
Depakote,4,347
Depakote ER,5,401
Depo-Estradiol,4,202
Depo-SubQ Provera,5,357
Depo-Testosterone,5,318
DepoCyt,7,567
DepoDur,3,243
Derma-Smoothe/FS,3,121
Desferal,6,344
Desflurane,4,381
Desipramine Hydrochloride,2,183
Desloratadine,4,257
Desloratadine and Pseudoephedrine Sulfate,2,113
Desmopressin Acetate,1,45
Desogen,5,373
Desogestrel and Ethinyl Estradiol,6,438
Desonate,5,252
DesOwen,2,122
Desoximetasone,3,207
Desoxyn,2,91
Desyrel,0,0
Detrol,3,236
Detrol LA,2,166
Dexamethasone,3,198
Dexedrine,3,246
Dexfenfluramine,5,370
Dexilant,3,204
Dexlansoprazole,5,336
Dexmedetomidine hydrochloride,0,0
Dexmethylphenidate Hydrochloride,5,323
Dexrazoxane,4,149
Dextroamphetamine,4,312
Dht,1,38
DiaBeta,1,97
Diabinese,4,158
Diamox Sequels,6,349
Diastat,6,448
Diazepam,8,379
Dibenzyline,4,289
Diclofenac Sodium,1,80
Dicloxacillin,4,359
Dicyclomine,6,414
Didanosine,2,106
Didrex,5,317
Didronel,4,274
Dienestrol,2,125
Diethylpropion,3,148
Difenoxin,3,149
Differin,5,367
Diflucan,3,159
Diflunisal,0,0
Digibind,2,154
Digitek,8,360
Digoxin Immune Fab,3,198
Dihydroergotamine,2,163
Dihydrotachysterol,5,372
Dilacor XR,4,294
Dilantin,5,353
Dilantin Infatabs,4,146
Dilaudid,4,301
Dilaudid-HP,7,463
Diltiazem,5,307
Diltiazem Hcl,1,21
Dimetane,3,180
Dinoprostone,3,205
Diovan,4,196
Diovan HCT,2,130
Dipentum,3,243
Diphenhydramine,3,220
Diphtheria-Tetanus Vaccine,5,219
Dipivefrin,3,162
Diprivan,2,126
Diprolene AF,4,339
Dipyridamole,6,289
Disalcid,0,0
Disopyramide Phosphate,6,300
Disulfiram,3,46
Ditropan,4,288
Ditropan XL,3,157
Diucardin,2,119
Diuril,5,301
Divalproex Sodium,5,347
DMSO,6,490
Dobutamine,7,310
Dofetilide,3,145
Dolasetron,4,275
Dolobid,5,381
Dolophine,6,371
Donepezil Hydrochloride,4,290
Dopamine,9,587
Dopamine Hydrochloride,4,311
Dopar,1,93
Dopram,2,233
Doral,3,165
Doribax,1,40
Dornase alfa,3,183
Doryx,0,0
Dorzolamide,4,249
Dostinex,2,69
Dovonex,9,427
Doxacurium Chloride,3,250
Doxapram,2,91
Doxazosin Mesylate,1,84
Doxepin,6,334
Doxercalciferol,4,190
Doxil,2,87
Doxorubicin hydrochloride,0,0
Doxycycline,3,236
Doxycycline Hyclate,0,0
Drisdol,1,49
Dronabinol,4,330
Dronedarone,1,66
Droperidol,2,123
Drospirenone and Estradiol,2,67
Drotrecogin alfa,5,338
Droxia,1,12
Dtic-Dome,1,79
DTP,3,307
Duetact,4,288
Dulera,2,66
Duloxetine Hcl,3,188
Duoneb,3,279
Duraclon,0,0
Duragesic,1,14
Duramorph,4,272
Duranest,4,360
Durezol,2,113
Duricef,1,60
Dutasteride,1,31
Dyazide,2,182
Dynacirc,5,388
Dynacirc CR,5,340
Dynapen,2,147
Dyphylline,2,145
Dyrenium,7,431
Dysport,6,406
Econazole Nitrate,1,53
Eculizumab,7,415
Edecrin,2,87
Edetate Calcium,1,30
Edex,2,190
Edluar,0,0
Edrophonium,3,337
Efalizumab,1,32
Efavirenz,1,63
Effexor,4,295
Effexor XR,2,138
Effient,2,188
Eflornithine,4,216
Efudex,4,290
Elaprase,3,201
Elavil,3,113
Eldepryl,2,140
Elestat,6,385
Eletriptan hydrobromide,6,397
Elidel,0,0
Eligard,5,299
Elimite,4,259
Elitek,4,222
Ellence,7,629
Elmiron,4,134
Elocon,3,126
Eloxatin,4,249
Elspar,6,259
Eltrombopag,5,313
Emadine,3,181
Embeda,3,187
Emcyt,3,219
Emedastine,2,99
Emend,5,237
Emgel,5,261
Emla,3,245
Empirin,4,133
Emsam,3,198
Emtricitabine,4,385
Emtriva,3,165
Enablex,2,102
Enalapril,0,0
Enbrel,1,110
Endocet,2,189
Endometrin,1,53
Endrate,2,219
Enflurane,3,125
Enfuvirtide,2,151
Engerix-B,6,521
Enjuvia,0,0
Enlon,0,0
Enoxacin,7,479
Enoxaparin,3,255
Entacapone,4,322
Entecavir,2,105
Entereg,5,252
Entex,0,0
Entocort EC,2,115
Eovist,2,183
Ephedrine,5,386
Epiduo,6,369
Epinastine HCl,3,51
Epinephrine,3,296
Epipen,3,89
Epirubicin hydrochloride,2,140
Epivir,5,355
Eplerenone,4,294
Epoetin Alfa,2,123
Epogen,6,376
Epoprostenol sodium,8,488
Eprosartan Mesylate,3,210
Eptifibatide,2,154
Epzicom,0,0
Equagesic,2,86
Equetro,1,33
Eraxis,3,203
Erbitux,0,0
Ergocalciferol,4,257
Ergomar,4,252
Ergotamine Tartrate and Caffeine,1,103
Erlotinib,7,420
Ertaczo,1,14
Ertapenem,4,158
Ery-Tab,2,111
Eryc,5,299
Erygel,5,359
EryPed,1,41
Erythrocin Stearate,7,398
Erythromycin,3,200
Erythromycin Ethylsuccinate,2,202
Erythromycin Lactobionate,3,125
Escitalopram Oxalate,1,103
Esclim,3,271
Eskalith,2,74
Esmolol,2,108
Esomeprazole Magnesium,5,432
Esomeprazole Sodium,6,469
Essential Amino Acids,1,86
Estazolam,1,54
Esterified Estrogens,2,98
Estrace,4,276
Estraderm,4,198
Estradiol,2,146
Estradiol Acetate,3,228
Estradiol valerate,3,198
Estramustine,5,255
Estratest,3,168
Estring,3,145
EstroGel,2,128
Estrogens conjugated,1,95
Estropipate,6,340
Estrostep 21,3,190
Eszopiclone,2,148
Etanercept,3,167
Ethacrynic Acid,2,150
Ethambutol,6,412
Ethamolin,5,382
Ethanolamine Oleate,8,509
EtheDent,6,399
Ethinyl Estradiol,3,64
Ethiodized Oil,9,564
Ethiodol,3,305
Ethionamide,1,37
Ethosuximide,3,104
Ethotoin,6,274
Ethrane,5,349
Ethyl Chloride,2,49
Ethyol,4,243
Etidocaine HCl,3,213
Etidronate Disodium,4,233
Etodolac,2,56
Etonogestrel,1,89
Etopophos,2,162
Etoposide,5,494
Etoposide Phosphate,5,266
Etrafon,4,327
Eulexin,4,161
Eurax,2,193
Evamist,2,111
Everolimus,4,279
Evista,2,105
Evoclin,4,185
Evoxac,2,65
Exalgo,3,280
Exelderm,5,316
Exelon,6,377
Exemestane,1,46
Exenatide,3,190
Exforge,3,231
Exforge HCT,1,13
Exjade,2,138
Extavia,5,281
Extended Phenytoin Sodium,4,263
Extina,4,68
Extraneal,6,414
Exubera,4,140
Ezetimibe,1,25
Ezetimibe and Simvastatin,3,240
Fabrazyme,2,85
Factive,3,237
Factor IX Complex,2,78
Factrel,2,122
Famciclovir,5,175
Famotidine,6,458
Famotidine Injection,1,23
Famvir,4,222
Fanapt,6,336
Fansidar,2,148
Fareston,5,325
Faslodex,6,256
Fastin,4,397
Fazaclo,3,152
Febuxostat,1,17
Feiba-VH,0,0
Felbamate,2,99
Felbatol,6,256
Feldene,3,184
Felodipine,2,226
Femara,4,317
Femcon Fe,2,136
Femhrt,5,283
Femring,5,525
Fenofibrate,3,186
Fenofibric Acid,3,215
Fenoglide,3,207
Fenoldopam Mesylate,2,188
Fenoprofen Calcium,4,248
Fentanyl Buccal,2,70
Fentanyl Citrate,2,92
Fentora,3,232
Feraheme,3,248
Feridex I.V.,1,30
Ferrlecit,3,166
Fertinex,3,220
Ferumoxides,3,134
Ferumoxytol,1,41
Fesoterodine Fumarate Extended,7,466
Fexofenadine Hcl,2,53
Filgrastim,7,366
Finacea,4,361
Finasteride,5,298
Fioricet,1,96
Fiorinal with Codeine,4,318
Flagyl,5,316
Flavoxate HCl,2,54
Flecainide,0,0
Flector,3,164
Flexeril,2,192
Flo-Pred,6,324
Flolan,6,306
Flomax,6,537
Flonase,2,131
Florinef,2,173
Flovent,2,35
Flovent Diskus,2,133
Flovent HFA,8,686
Floxin,4,319
Floxin Otic,4,294
Floxuridine,6,349
Fluconazole,4,219
Flucytosine,1,107
Fludara,3,101
Fludarabine,6,481
Fludarabine Phosphate,3,148
Fludeoxyglucose F 18,5,401
Fludrocortisone,3,292
Flumadine,1,8
Flumazenil,7,288
FluMist,0,0
Flunisolide,4,275
Fluocinolone Acetonide,2,46
Fluocinonide,3,200
Fluorescein,10,574
Fluorescite,3,231
Fluoride,5,397
Fluorometholone,2,162
Fluoroplex,3,303
Fluorouracil,2,82
Fluothane,4,347
Fluoxetine Hcl,3,220
Fluoxetine Hydrochloride,8,452
Fluoxymesterone,0,0
Fluphenazine,2,82
Flurandrenolide,3,76
Flurazepam,5,250
Flurbiprofen,3,141
Fluress,6,459
Flutamide,8,435
Fluticasone Furoate,2,175
Fluticasone Propionate,4,137
Fluvastatin Sodium,5,234
Fluvirin,3,164
Fluvoxamine Maleate,3,118
FML,7,370
FML Forte,3,237
Focalin,4,149
Focalin XR,6,425
Folic Acid,4,215
Follistim AQ,4,281
Follitropin Alfa,1,25
Follitropin Beta,4,258
Folotyn,4,213
Foltx,1,59
Folvite,3,268
Fomepizole,3,207
Fomivirsen,4,310
Fondaparinux Sodium,5,409
Foradil Aerolizer,9,433
Foradil Certihaler,4,180
Forane,2,148
Formoterol Fumarate Inhalation Powder,2,164
Fortamet,5,241
Fortaz,4,220
Forteo,4,263
Fortical,2,105
Fosamax,3,88
Fosamax Plus D,4,250
Fosamprenavir Calcium,1,98
Fosaprepitant Dimeglumine,3,294
Foscarnet Sodium,4,328
Foscavir,4,143
Fosfomycin,4,166
Fosinopril Sodium,3,129
Fosphenytoin Sodium,2,130
Fospropofol Disodium,3,259
Fosrenol,3,216
Fragmin,5,426
Frova,2,215
Frovatriptan Succinate,2,149
Fulvestrant,4,329
Fungizone,3,92
Furadantin,5,353
Furazolidone,2,148
Furosemide,4,352
Furoxone,0,0
Fuzeon,3,186
Gabapentin,3,143
Gabitril,5,352
Gadobenate Dimeglumine,2,126
Gadodiamide,3,222
Gadofosveset Trisodium,1,31
Gadopentetate Dimeglumine,3,142
Gadoteridol,2,87
Gadoversetamide,3,247
Gadoxetate Disodium,1,115
Galantamine,6,261
Galsulfase,2,181
Gammagard,1,110
Gamunex,2,36
Ganciclovir,2,192
Ganirelix,4,182
Ganirelix Acetate Injection,4,247
Gantanol,0,0
Gantrisin,3,219
Gardasil,4,323
Gatifloxacin,5,303
Gelnique,4,264
Gemcitabine Hcl,2,192
Gemfibrozil,4,301
Gemifloxacin Mesylate,4,229
Gemtuzumab Ozogamicin,3,201
Gemzar,2,49
Gengraf,4,392
Genoptic,5,311
Genotropin,1,109
Gentak,1,66
Gentamicin,2,103
Geocillin,3,92
Geodon,3,215
Glatiramer Acetate,2,72
Gleevec,2,108
Gliadel,1,42
Glimepiride,3,178
Glipizide,3,267
GlucaGen,2,112
Glucagon,1,17
Glucophage XR,2,172
Glucotrol,2,186
Glucotrol XL,3,196
Glucovance,1,113
Glumetza,5,183
Glyburide,3,259
Glycopyrrolate,4,329
Glynase,3,137
Glyset,2,95
Gold Sodium Thiomalate,5,286
Golimumab,4,194
Gonadorelin,3,125
Gonal-F,3,235
Gonal-f RFF,2,115
Goserelin Acetate,6,441
Goserelin Acetate Implant,3,155
Granisetron,6,429
Granisetron Hydrochloride,1,117
Grepafloxacin,6,427
Grifulvin V,2,85
Gris-PEG,1,103
Griseofulvin,1,57
Guaifenesin,0,0
Guanethidine Monosulfate,2,177
Guanfacine,5,338
Guanfacine Hydrochloride,3,214
Gynazole,2,154
Gyne-Lotrimin,4,335
Haemophilus b Conjugate Vaccine,3,273
Halcinonide,6,339
Halcion,5,426
Haldol,9,442
Haldol Decanoate,3,151
HalfLytely and Bisacodyl,5,261
Halobetasol Propionate,4,207
Halog,5,246
Haloperidol,3,200
Haloperidol Decanoate,4,377
Halotestin,2,73
Halothane,1,57
Havrix,3,40
Healon,4,326
Hectorol,6,231
Helidac,1,11
Hemabate,2,174
Hemin,3,247
HEP-LOCK U/P,4,321
HepaGam B,2,110
Heparin,3,124
Heparin Lock Flush,5,443
Heparin Sodium,4,263
HepatAmine,1,17
Hepatitis A Vaccine-Inactivated,0,0
Hepatitis B Immune Globulin,0,0
Hepatitis B Vaccine,2,154
Hepatitis B Vaccine Recombinant,5,308
Hepflush-10,4,347
Hepsera,2,95
Herceptin,3,182
Hexachlorophene,4,238
Hexalen,0,0
HibTITER,1,31
Hiprex,2,144
Hismanal,3,212
Hivid,1,11
HMS,2,101
Humalog,8,555
Human Secretin,4,328
